0.40 ,0.21 ,0.8285714285714285 ,0.21380899352993948 ,0.86 ,0.25438378704451886 ,567,64,	1289.77
0.40 ,0.21 ,0.8 ,0.13997084244475297 ,0.9333333333333333 ,0.16329931618554516 ,305,34,	1351.73
0.40 ,0.21 ,0.6 ,0.11428571428571432 ,0.68 ,0.1306394529484362 ,2000,52,	725.57
0.40 ,0.21 ,0.8285714285714285 ,0.2799416848895061 ,0.9666666666666668 ,0.1333333333333333 ,159,74,	970.089
0.40 ,0.21 ,0.8571428571428571 ,0.0 ,0.96 ,0.15999999999999998 ,145,60,	1235.21
0.40 ,0.21 ,0.7428571428571429 ,0.21380899352993948 ,0.96 ,0.15999999999999998 ,259,76,	1143.25
0.40 ,0.21 ,0.7714285714285715 ,0.22857142857142856 ,0.8266666666666668 ,0.21249836600678973 ,173,112,	926.934
0.40 ,0.21 ,0.6571428571428571 ,0.22857142857142856 ,0.7866666666666667 ,0.12364824660660943 ,898,146,	1009.35
0.40 ,0.21 ,0.7428571428571429 ,0.11428571428571423 ,0.8666666666666668 ,0.24944382578492943 ,240,78,	970.406
0.40 ,0.21 ,0.7714285714285715 ,0.13997084244475297 ,0.82 ,0.03265986323710903 ,445,136,	868.955
0.40 ,0.21 ,0.7714285714285715 ,0.13997084244475297 ,0.8066666666666666 ,0.35876330792196565 ,263,26,	1111.36
0.40 ,0.21 ,0.9142857142857143 ,0.22857142857142856 ,0.86 ,0.25438378704451886 ,194,122,	1045.71
0.40 ,0.21 ,0.7714285714285715 ,0.13997084244475297 ,0.8933333333333333 ,0.17587874611030552 ,151,92,	912.585
0.40 ,0.21 ,0.6857142857142857 ,0.11428571428571432 ,0.7933333333333333 ,0.2472964932132188 ,69,70,	1001.72
0.40 ,0.21 ,0.8285714285714285 ,0.21380899352993948 ,0.8866666666666667 ,0.18666666666666665 ,260,68,	1017.01
0.40 ,0.21 ,0.8857142857142858 ,0.2138089935299395 ,0.9 ,0.26666666666666666 ,79,80,	1043.22
0.40 ,0.21 ,0.9142857142857143 ,0.22857142857142856 ,0.9333333333333333 ,0.16329931618554516 ,94,86,	952.523
0.40 ,0.21 ,0.7714285714285715 ,0.22857142857142856 ,0.9 ,0.16329931618554516 ,184,142,	1020.95
0.40 ,0.21 ,0.7428571428571429 ,0.11428571428571423 ,0.9333333333333333 ,0.16329931618554516 ,250,148,	1290.6
0.40 ,0.21 ,0.6857142857142857 ,0.2138089935299395 ,0.82 ,0.21333333333333337 ,910,134,	1066.08
0.40 ,0.21 ,0.7714285714285715 ,0.13997084244475297 ,0.9333333333333333 ,0.16329931618554516 ,52,52,	1031.68
0.40 ,0.21 ,0.8857142857142858 ,0.2138089935299395 ,0.9666666666666668 ,0.13333333333333333 ,66,48,	1036.65
0.40 ,0.21 ,0.8285714285714285 ,0.3331972511340172 ,0.9666666666666668 ,0.13333333333333333 ,47,48,	1405.99
0.40 ,0.21 ,0.7428571428571429 ,0.21380899352993948 ,0.7933333333333333 ,0.2472964932132188 ,915,108,	1043.51
0.40 ,0.21 ,0.7428571428571429 ,0.21380899352993948 ,0.7533333333333333 ,0.14360439485692017 ,221,28,	1113.91
0.40 ,0.21 ,0.7428571428571429 ,0.11428571428571423 ,0.8333333333333333 ,0.298142396999972 ,607,96,	1312.34
0.40 ,0.21 ,0.8857142857142858 ,0.3331972511340172 ,1.0 ,0.0 ,47,62,	1335.4
0.40 ,0.21 ,0.7714285714285716 ,0.22857142857142854 ,1.0 ,0.0 ,37,60,	1045.79
0.40 ,0.21 ,0.7142857142857143 ,0.1807015805810502 ,0.8133333333333332 ,0.25508168626278654 ,502,146,	1188.82
0.40 ,0.21 ,0.7142857142857143 ,0.1807015805810502 ,0.8333333333333334 ,0.3651483716701107 ,458,40,	853.585
